rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,thstrm_add_amount,frmtrm_nm,frmtrm_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency
20260310002820,11011,2025,00126380,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncome,연결기타포괄손익,-,제 57 기,6083719000000,,제 56 기,16844987000000,,,,제 55 기,3350311000000,10,KRW
20260310002820,11011,2025,00126380,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 포괄손익,-,제 57 기,1205886000000,,제 56 기,15382480000000,,,,제 55 기,2684368000000,11,KRW
20260310002820,11011,2025,00126380,CIS,포괄손익계산서,ifrs-full_GainsLossesOnCashFlowHedgesNetOfTax,현금흐름위험회피파생상품평가손익,-,제 57 기,1706000000,,제 56 기,-38946000000,,,,제 55 기,927000000,12,KRW
20260310002820,11011,2025,00126380,CIS,포괄손익계산서,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업장환산외환차이,-,제 57 기,960019000000,,제 56 기,15116099000000,,,,제 55 기,2621479000000,13,KRW
20260310002820,11011,2025,00126380,CIS,포괄손익계산서,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,관계기업 및 공동기업의 기타포괄손익에 대한 지분,-,제 57 기,244161000000,,제 56 기,305327000000,,,,제 55 기,61962000000,14,KRW
20260310002820,11011,2025,00126380,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 포괄손익,-,제 57 기,4877833000000,,제 56 기,1462507000000,,,,제 55 기,665943000000,15,KRW
20260310002820,11011,2025,00126380,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,기타포괄손익-공정가치금융자산평가손익,-,제 57 기,4678338000000,,제 56 기,2300166000000,,,,제 55 기,1481091000000,16,KRW
20260310002820,11011,2025,00126380,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여부채(자산) 재측정요소,-,제 57 기,106691000000,,제 56 기,-766078000000,,,,제 55 기,-828298000000,17,KRW
20260310002820,11011,2025,00126380,CIS,포괄손익계산서,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,관계기업 및 공동기업의 기타포괄손익에 대한 지분,-,제 57 기,92804000000,,제 56 기,-71581000000,,,,제 55 기,13150000000,18,KRW
20260310002820,11011,2025,00126380,CIS,포괄손익계산서,ifrs-full_ProfitLoss,당기순이익,-,제 57 기,45206805000000,,제 56 기,34451351000000,,,,제 55 기,15487100000000,19,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초의 현금및현금성자산,-,제 57 기,53705579000000,,제 56 기,69080893000000,,,,제 55 기,49680710000000,2,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말의 현금및현금성자산,-,제 57 기,57856378000000,,제 56 기,53705579000000,,,,제 55 기,69080893000000,3,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,-표준계정코드 미사용-,매각예정분류,-,제 57 기,0,,제 56 기,0,,,,제 55 기,-14153000000,8,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,-,제 57 기,-13478040000000,,제 56 기,-7797243000000,,,,제 55 기,-8593059000000,9,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,dart_AcquisitionOfTreasuryShares,자기주식의 취득,-,제 57 기,8189263000000,,제 56 기,1811775000000,,,,제 55 기,0,10,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,dart_DecreaseInNoncontrollingInterests,비지배지분의 증감,-,제 57 기,973000000,,제 56 기,8511000000,,,,제 55 기,9118000000,11,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,dart_ProceedsFromLongTermBorrowings,장기차입금의 차입,-,제 57 기,2807001000000,,제 56 기,404954000000,,,,제 55 기,354712000000,12,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInIncreaseDecreaseInCurrentBorrowings,단기차입금의 순증가(감소),-,제 57 기,4655349000000,,제 56 기,5871346000000,,,,제 55 기,2145400000000,13,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금의 지급,-,제 57 기,9897183000000,,제 56 기,10888749000000,,,,제 55 기,9864474000000,14,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_RepaymentsOfNoncurrentBorrowings,사채 및 장기차입금의 상환,-,제 57 기,2852971000000,,제 56 기,1364508000000,,,,제 55 기,1219579000000,15,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,-,제 57 기,-68512206000000,,제 56 기,-85381702000000,,,,제 55 기,-16922817000000,16,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,dart_ProceedsFromSalesOfFairValueFinancialAsset,당기손익-공정가치금융자산의 처분,-,제 57 기,142584000000,,제 56 기,309970000000,,,,제 55 기,63962000000,17,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,dart_ProceedsFromSalesOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산의 처분,-,제 57 기,851834000000,,제 56 기,389680000000,,,,제 55 기,6521568000000,18,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 처분,-,제 57 기,4519179000000,,제 56 기,4100008000000,,,,제 55 기,4565426000000,19,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,dart_ProceedsFromSalesOfNonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정분류자산 처분으로 인한 현금유입액,-,제 57 기,0,,제 56 기,101563000000,,,,제 55 기,0,20,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,dart_PurchaseOfFairValueFinancialAsset,당기손익-공정가치금융자산의 취득,-,제 57 기,146774000000,,제 56 기,70982000000,,,,제 55 기,130459000000,21,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,dart_PurchaseOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산의 취득,-,제 57 기,129636000000,,제 56 기,185876000000,,,,제 55 기,124488000000,22,KRW
